"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\User 1\Desktop\StillwaterClean\src\Artist.java", "Java", 127, 8, 13, 148
"c:\Users\User 1\Desktop\StillwaterClean\src\ArtistSales.java", "Java", 107, 24, 31, 162
"c:\Users\User 1\Desktop\StillwaterClean\src\Controller.java", "Java", 228, 74, 56, 358
"c:\Users\User 1\Desktop\StillwaterClean\src\CreateNewWorkbook.java", "Java", 328, 50, 98, 476
"c:\Users\User 1\Desktop\StillwaterClean\src\CreateSmallWorkbook.java", "Java", 159, 15, 43, 217
"c:\Users\User 1\Desktop\StillwaterClean\src\GUI.java", "Java", 155, 24, 32, 211
"c:\Users\User 1\Desktop\StillwaterClean\src\GenerateWorkbook.java", "Java", 216, 55, 39, 310
"c:\Users\User 1\Desktop\StillwaterClean\src\ImportFile.java", "Java", 41, 4, 14, 59
"c:\Users\User 1\Desktop\StillwaterClean\src\PayPeriodStorage.java", "Java", 108, 4, 31, 143
"c:\Users\User 1\Desktop\StillwaterClean\src\SortArtists.java", "Java", 7, 1, 6, 14
"Total", "-", 1476, 259, 363, 2098
